pid,run_id,timestamp,window_index,write_rate,rename_rate,unique_dirs,files_modified,entropy,dir_dispersion,proc_cpu_pct,handle_count,label
1000,0,0.0,0,0.0,0.0,1,0,3.4697579164922803,0.0232260465183778,29.207142197130278,29,0
1000,0,0.5,1,4.854177556552266,0.4805056053512274,1,4,1.774011318507802,0.17906052711765452,21.772551110337623,17,0
1000,0,1.0,2,5.0924278858172585,0.10728231075871872,1,3,4.458156533996028,0.13288996579276705,25.473819290995557,25,0
1000,0,1.5,3,1.020036998170644,0.0,1,2,5.532150126897605,0.08974472881106124,15.450706582527424,10,0
1000,0,2.0,4,3.894209967140789,0.525892560983117,1,3,3.710034456453311,0.11968197370561118,29.143388621813166,22,0
1000,0,2.5,5,2.205022212854412,0.3734716392139905,2,0,2.9245918105568576,0.05766646111364841,17.060935612280915,16,0
1000,0,3.0,6,0.0,0.7809670127548884,1,0,3.79295551718901,0.15276000982233504,27.861771036570488,29,0
1000,0,3.5,7,10.920730791576311,0.7472478386104485,1,6,1.8449858851970995,0.47575968373454747,23.31136428679217,28,0
1000,0,4.0,8,2.4324237668239688,0.5753542363804021,1,2,2.3085333060800277,0.06732515380914356,19.118055246241017,5,0
1000,0,4.5,9,0.8625686886253734,0.20749647123661247,2,1,4.6976931961510155,0.09113630639415188,18.78557190187442,19,0
1000,0,5.0,10,0.0,0.0,1,0,1.8701377003518906,0.06596537013645493,32.56578478051617,15,0
1000,0,5.5,11,0.0,0.076737465279422,1,0,5.012554647423312,0.0,25.647347546594506,22,0
1000,0,6.0,12,0.0,0.2432777046283217,1,0,3.5393338619421972,0.2441601002188824,20.257113378443453,7,0
1000,0,6.5,13,2.586066249061596,1.015512545144262,2,2,6.133945204195211,0.0,17.053946136229666,8,0
1000,0,7.0,14,0.0,0.5810905680886426,1,0,1.6719576538264251,0.1282162462705176,28.876970941382698,43,0
1000,0,7.5,15,3.072098122322174,0.0,1,2,2.0367060284414134,0.06261784658382832,17.275184005749182,18,0
1000,0,8.0,16,2.4286959577455445,0.10481909777678704,1,0,2.6246457636680045,0.09515957042635116,36.31539770686671,21,0
1000,0,8.5,17,0.7878355427843029,0.0,1,0,7.331245518383296,0.026075198869805263,28.879872028118406,9,0
1000,0,9.0,18,2.998451954396841,0.10601726140514577,1,1,4.302929962667745,0.05905148676932981,12.367112288089663,4,0
1000,0,9.5,19,5.98380268015827,0.29599496814406295,1,5,5.850803135072285,0.11974442512274708,18.884540551557752,33,0
1000,0,10.0,20,5.875464519122163,0.30994066233314366,1,1,6.47167027801625,0.25512991487049674,20.735804691966845,15,0
1000,0,10.5,21,0.0,0.0,2,0,3.4907806399038717,0.08529013913279387,24.872554788619116,36,0
1000,0,11.0,22,3.6459215223243278,0.0,1,1,1.3061364912374693,0.020966286976412438,19.49897087262115,30,0
1001,1,15.455936015662168,0,0.0,0.0033961433828235132,2,1,5.9073165933969385,0.08609448886750896,1.9075351796412683,17,0
1001,1,15.955936015662168,1,1.400135526584874,0.0,1,1,8.0,0.26891601501535034,0.6491292685363321,16,0
1001,1,16.455936015662168,2,0.0,0.3893630021542043,3,0,2.3225364078779664,0.0,6.173748708647631,7,0
1001,1,16.955936015662168,3,6.4863070319310285,0.0,1,5,0.3360888955580634,0.0,24.509052969233277,4,0
1001,1,17.455936015662168,4,5.550985951253882,1.9430403015442441,1,3,4.114799991692918,0.2555827879965033,0.0,17,0
1001,1,17.955936015662168,5,2.0456173166171427,0.0,1,0,3.0712872608456028,0.07602512589919405,9.332435190016941,13,0
1001,1,18.455936015662168,6,3.4904916750001678,0.29325759660107964,1,2,3.5001519075645455,0.035059776981143737,10.007030166393356,18,0
1001,1,18.955936015662168,7,4.892089386638703,0.4315079315339005,1,1,5.644057315559957,0.12364743026324247,11.316223300139779,1,0
1001,1,19.455936015662168,8,2.094752975986504,0.0,1,2,3.5944402370412387,0.07370459327768006,6.647169928479205,16,0
1001,1,19.955936015662168,9,4.637432062933489,0.0,1,4,4.03278918143678,0.06652768768108391,0.0,23,0
1001,1,20.455936015662168,10,0.0,0.718296808218913,1,0,1.6047826807328918,0.06989894448797111,17.875432830598562,26,0
1001,1,20.955936015662168,11,3.9022318528948303,0.4634520073577457,3,3,4.990378718234706,0.07330861418187626,8.00744259988053,11,0
1001,1,21.455936015662168,12,0.0,0.6694102054505968,1,2,4.851564179716268,0.2638581541882121,13.321273602116051,1,0
1001,1,21.955936015662168,13,0.0,0.0,3,1,2.2419252285582565,0.008765437020364114,7.737332816016979,5,0
1001,1,22.455936015662168,14,1.738725809328706,0.8931872216640178,2,0,4.047860112254468,0.10648302159093202,10.786198355988438,39,0
1001,1,22.955936015662168,15,0.0,0.5545437936760128,1,2,4.163041902861185,0.17619255872590636,2.9075267808325362,29,0
1001,1,23.455936015662168,16,1.5408971807935172,0.3406405356192176,1,0,3.2344483755673648,0.08627297207928772,10.542226987834853,31,0
1001,1,23.955936015662168,17,0.6461795546516522,1.088873328595384,1,0,3.8641511452961486,0.1759946671436788,7.566484517492167,35,0
1001,1,24.455936015662168,18,3.063252297675751,0.532469900794456,4,2,0.0,0.2443828925365427,3.8134806253522875,21,0
1001,1,24.955936015662168,19,0.0,0.0,1,0,4.291345890830589,0.1471769058531494,9.685269507635322,3,0
1001,1,25.455936015662168,20,1.094586093926552,0.0,1,2,3.7488345777056273,0.16841197768382685,9.30876706592744,26,0
1001,1,25.955936015662168,21,0.50967359587195,0.31806565799417436,2,0,4.438101060317803,0.0760745087276159,6.5347387343818495,29,0
